rank,evidence_id,title,trial,indication,drug,phase,sample_size,evaluation,score,reason
1,"24_37_7b336311458434041249ca606edfe0df_1","Enfortumab vedotin plus pembrolizumab (EV+P) vs chemotherapy for previously untreated locally advanced or metastatic urothelial carcinoma (la/mUC): 3.5-year follow-up and response analyses from the phase 3 EV-302 study.","EV-302/KEYNOTE-A39","尿路上皮癌","维恩妥尤单抗","III期",886,"积极",82,"III期积极结果；n=886；终点:OS/CR；药物:维恩妥尤单抗/帕博利珠单抗"
2,"24_37_b828897f4cd53e12f2097eeb7039f1b6_1","Perioperative (neoadjuvant and adjuvant) apalutamide (APA) + androgen deprivation therapy (ADT) vs placebo (PBO) + ADT with radical prostatectomy (RP) in high-risk localized or locally advanced prostate cancer (HR LPC/LAPC): Final analysis of the PROTEUS phase 3 study.","PROTEUS","前列腺癌","阿帕他胺","III期",2109,"积极",81,"III期积极结果；n=2109；终点:ctDNA/MRD；药物:阿帕他胺"
3,"24_37_983c4997d276b049f33a40bba759217b_1","Nivolumab + ipilimumab (NIVO + IPI) vs NIVO in microsatellite instability high/mismatch repair-deficient metastatic colorectal cancer (MSI-H/dMMR mCRC): CheckMate 8HW subgroup analyses including treatment-free status and outcomes in long-term survivors.","CheckMate 8HW","结直肠癌","伊匹木单抗","III期",707,"积极",79,"III期积极结果；n=707；终点:OS/CR；药物:伊匹木单抗/纳武利尤单抗"
4,"24_37_306b3e5202d2f3abb30dbf32a96463c3_1","Neoadjuvant pembrolizumab or placebo plus chemotherapy followed by adjuvant pembrolizumab or placebo for high-risk early-stage TNBC: Final analysis results from the phase 3 KEYNOTE-522 study.","KEYNOTE-522","三阴性乳腺癌","帕博利珠单抗","III期",1174,"积极",77,"III期积极结果；n=1174；终点:EFS；药物:表柔比星/多柔比星"
5,"24_37_6d7ba10d3863bd07093c89fd1a305584_1","Durvalumab (D) in combination with BCG induction and maintenance (I + M) therapy for BCG-naive, high-risk non–muscle-invasive bladder cancer (NMIBC): 5-year overall survival (OS) analysis and patient-reported outcomes (PROs) from POTOMAC.","POTOMAC","非肌层浸润性膀胱癌","度伐利尤单抗","III期",,"积极",77,"III期积极结果；终点:OS；药物:度伐利尤单抗"
6,"24_37_87ed457cc6a2361869f9c95a9721e762_1","First-line datopotamab deruxtecan (Dato-DXd) vs chemotherapy in patients with locally recurrent inoperable or metastatic triple-negative breast cancer (TNBC) for whom immunotherapy was not an option: Additional efficacy endpoints from the TROPION-Breast02 study.","TROPION-Breast02","三阴性乳腺癌","德达博妥单抗","III期",644,"积极",74,"III期积极结果；n=644；终点:OS；药物:德达博妥单抗"
7,"24_37_a6412122a267b09c38508432d162052a_1","Efficacy of durvalumab and safety by treatment period in MATTERHORN: A randomized, phase 3 study of durvalumab plus 5-fluorouracil, leucovorin, oxaliplatin, and docetaxel (FLOT) chemotherapy in resectable gastric/gastroesophageal junction (G/GEJ) cancer.","MATTERHORN","胃癌","度伐利尤单抗","III期",944,"积极",74,"III期积极结果；n=944；终点:EFS；药物:亚叶酸/氟尿嘧啶"
8,"24_37_b31346314e00905067cc5087c93b6822_1","Rezvilutamide (Rez) versus bicalutamide (Bic) plus androgen-deprivation therapy (ADT) in high-volume, metastatic, hormone-sensitive prostate cancer (mHSPC): 5-year outcomes of the phase 3 CHART trial.","CHART","前列腺癌","瑞维鲁胺","III期",654,"积极",74,"III期积极结果；n=654；终点:OS；药物:瑞维鲁胺"
9,"24_37_5b8bfe4161d4a03573850d4d775d560e_1","Prevalence of symptomatic skeletal events (SSE) with reduced denosumab (Dmab) dose density (every 12 weeks versus every 4 weeks): A randomized phase III non-inferiority trial SAKK 96/12 REDUSE.","SAKK 96/12 REDUSE","乳腺癌","地舒单抗","III期",1380,"积极",73,"III期积极结果；n=1380；药物:地舒单抗"
10,"24_37_f172a62919b5fc42e451b6ba5443184a_1","Efficacy and safety of giredestrant (GIRE) in patients (pts) with estrogen receptor–positive, HER2-negative early breast cancer (ER+, HER2– eBC) in the phase III lidERA BC clinical trial: Results by menopausal status.","lidERA BC","乳腺癌","","III期",4170,"积极",73,"III期积极结果；n=4170"
11,"24_37_f49a60345132193b46e7859690ca6013_1","frontMIND: Phase 3 study of tafasitamab (Tafa) plus lenalidomide (Len) and R-CHOP for patients (pts) with newly diagnosed diffuse large B-cell lymphoma (DLBCL).","frontMIND","弥漫性大B细胞淋巴瘤","利妥昔单抗","III期",899,"积极",73,"III期积极结果；n=899；终点:PFS；药物:来那度胺/利妥昔单抗"
12,"24_37_1b7a075c62125e6f85f753b84014c467_1","Izalontamab brengitecan (iza-bren) versus chemotherapy in patients with recurrent or metastatic esophageal squamous cell carcinoma (ESCC): A multicenter, randomized, open-label, phase III study.","NCT06304974","食管鳞状细胞癌","伦康依隆妥单抗","III期",497,"积极",72,"III期积极结果；n=497；终点:OS；药物:伦康依隆妥单抗"
13,"24_37_1cbd8a0e078c83f1e0a13ab1445a1ea5_1","PD-L1 CPS ≥10 population subgroup analysis of KEYNOTE-412: Pembrolizumab plus chemoradiotherapy versus placebo plus chemoradiotherapy for unresected locally advanced head and neck squamous cell carcinoma.","KEYNOTE-412","头颈部鳞状细胞癌","帕博利珠单抗","III期",804,"积极",72,"III期积极结果；n=804；终点:EFS；药物:帕博利珠单抗"
14,"24_37_4ed9dbca8b23149ee019965c1a2c7afd_1","Neoadjuvant and adjuvant enfortumab vedotin plus pembrolizumab for participants with muscle-invasive bladder cancer who are eligible for cisplatin: Randomized, open-label, phase 3 KEYNOTE-B15 study.","KEYNOTE-B15/EV-304","膀胱癌","帕博利珠单抗","III期",808,"积极",72,"III期积极结果；n=808；终点:EFS；药物:帕博利珠单抗/维恩妥尤单抗"
15,"24_37_7eb5c1d8a5eb8a3cc4764599034bc701_1","Envafolimab (KN035) plus gemcitabine and oxaliplatin (GEMOX) compared with GEMOX as first-line treatment for Chinese patients with advanced biliary tract cancer: A randomized, open-label, multi-center, phase III pivotal trial.","KN035-CN-005","胆道癌","恩沃利单抗","III期",472,"积极",71,"III期积极结果；n=472；终点:OS；药物:恩沃利单抗/吉西他滨"
